,Priority,Affected Facility,Identification Source,Diagnosis_Day_Diff,Significance
268,B,aa,Maintenance,49,low
269,B,ac,Project Management,40,low
270,B,ac,Maintenance,23,medium
271,C,ae,Project Management,20,high
272,B,ab,Engineer,25,medium
273,A,ac,Project Management,46,low
274,A,ab,Maintenance,49,low
275,D,ad,Project Management,7,high
276,B,ad,Project Management,27,medium
277,D,ae,Project Management,6,high
278,C,ac,Project Management,22,high
279,B,ac,Project Management,30,medium
280,C,ad,Engineer,15,high
281,B,ab,Engineer,32,medium
282,C,ae,Engineer,8,high
283,B,ab,Project Management,29,medium
284,B,ac,Project Management,31,low
285,B,aa,Project Management,43,low
286,B,ab,Engineer,34,medium
287,A,ab,Maintenance,33,low
288,B,ac,Project Management,25,medium
289,C,ac,Project Management,11,high
290,B,ad,Engineer,23,medium
291,B,ac,Maintenance,32,medium
292,C,ae,Engineer,22,high
293,A,aa,Maintenance,50,low
294,D,ac,Project Management,18,high
295,A,ab,Maintenance,42,low
296,B,ab,Maintenance,36,low
297,C,ac,Maintenance,17,medium
298,B,ac,Project Management,38,low
299,A,aa,Project Management,46,low
300,C,ac,Project Management,30,medium
301,D,ad,Project Management,6,high
302,D,ae,Engineer,12,high
303,A,aa,Maintenance,33,low
304,B,ab,Maintenance,26,medium
305,C,ac,Engineer,15,high
306,A,ac,Project Management,38,low
307,B,ab,Engineer,24,medium
308,A,aa,Maintenance,40,low
309,B,ac,Project Management,52,low
310,C,ab,Engineer,34,medium
311,C,ac,Project Management,25,medium
312,B,ab,Project Management,23,medium
313,C,ad,Maintenance,25,medium
314,B,ad,Engineer,31,medium
315,B,ac,Project Management,26,medium
316,C,ad,Project Management,14,high
317,D,ad,Project Management,8,high
318,A,aa,Maintenance,28,low
319,D,ae,Project Management,19,high
320,B,ac,Maintenance,24,medium
321,A,ac,Maintenance,46,low
322,C,ae,Project Management,14,high
323,B,ab,Engineer,31,medium
324,A,aa,Maintenance,30,low
325,C,ac,Engineer,8,high
326,C,ac,Project Management,30,medium
327,C,ac,Engineer,16,high
328,C,ab,Project Management,30,medium
329,C,ab,Project Management,25,medium
330,C,ad,Project Management,35,medium
331,B,ab,Project Management,22,medium
332,C,ad,Project Management,9,high
333,B,ab,Project Management,33,low
334,D,ad,Project Management,22,high
335,B,ad,Project Management,22,medium
336,A,aa,Project Management,28,low
337,B,ad,Project Management,31,medium
338,D,ac,Project Management,7,high
339,B,ac,Maintenance,29,medium
340,B,aa,Project Management,42,low
341,B,aa,Maintenance,35,low
342,C,ab,Project Management,22,medium
343,A,aa,Maintenance,50,low
344,B,ad,Maintenance,34,medium
345,B,ab,Project Management,46,low
346,C,ae,Project Management,13,high
347,B,ac,Engineer,30,medium
348,C,ae,Project Management,7,high
349,A,aa,Project Management,36,low
350,B,ac,Maintenance,47,low
351,C,ab,Project Management,17,medium
352,C,ab,Engineer,22,medium
353,A,ac,Maintenance,50,low
354,B,ac,Project Management,24,medium
355,A,aa,Project Management,43,low
356,B,ab,Project Management,39,low
357,A,aa,Project Management,48,low
358,D,ae,Engineer,10,high
359,B,ac,Project Management,50,low
360,B,ab,Project Management,16,medium
361,C,ae,Project Management,21,high
362,B,aa,Project Management,35,low
363,A,ac,Project Management,33,low
364,C,ad,Engineer,5,high
365,A,ac,Maintenance,35,low
366,C,ad,Maintenance,22,medium
367,D,ae,Engineer,4,high
368,B,ab,Maintenance,52,low
369,C,ac,Project Management,19,high
370,B,ad,Maintenance,27,medium
371,D,ad,Engineer,20,high
372,B,ab,Maintenance,39,low
373,B,ac,Engineer,28,medium
374,B,ac,Project Management,45,low
375,D,ad,Engineer,22,high
376,C,ab,Project Management,19,medium
377,B,ad,Engineer,20,medium
378,C,ae,Engineer,11,high
379,C,ab,Project Management,18,medium
380,B,ab,Maintenance,31,medium
381,B,ad,Project Management,18,medium
382,C,ad,Engineer,29,medium
383,A,aa,Maintenance,39,low
384,C,ab,Engineer,29,medium
385,C,ac,Project Management,11,high
386,B,ab,Project Management,16,medium
387,C,ab,Maintenance,35,medium
388,C,ad,Engineer,20,medium
389,A,aa,Maintenance,29,low
390,B,ac,Maintenance,24,medium
391,D,ad,Project Management,3,high
392,A,ab,Project Management,51,low
393,A,aa,Maintenance,28,low
394,C,ae,Project Management,10,high
395,D,ac,Project Management,7,high
396,D,ac,Engineer,20,high
397,C,ab,Project Management,24,medium
398,A,ab,Maintenance,49,low
399,D,ac,Engineer,6,high
400,A,ab,Maintenance,46,low
401,C,ab,Project Management,26,medium
402,B,ab,Maintenance,51,low
403,D,ac,Project Management,13,high
404,C,ad,Maintenance,21,medium
405,A,aa,Maintenance,48,low
406,A,aa,Maintenance,44,low
407,A,aa,Project Management,35,low
408,C,ac,Engineer,6,high
409,C,ab,Maintenance,26,medium
410,C,ac,Project Management,9,high
411,C,ac,Maintenance,24,medium
412,D,ad,Engineer,16,high
413,D,ad,Engineer,22,high
414,C,ad,Project Management,29,medium
415,C,ae,Engineer,15,high
416,D,ae,Project Management,17,high
417,A,ab,Maintenance,42,low
418,B,ad,Maintenance,30,medium
419,A,ab,Maintenance,51,low
420,B,ac,Project Management,30,low
421,C,ac,Engineer,34,medium
422,D,ad,Project Management,4,high
423,A,ab,Maintenance,45,low
424,C,ab,Project Management,18,medium
425,B,ac,Project Management,25,medium
426,C,ad,Maintenance,18,medium
427,B,ab,Maintenance,21,medium
428,A,ac,Maintenance,38,low
429,D,ac,Engineer,21,high
430,A,aa,Project Management,31,low
431,C,ab,Project Management,29,medium
432,C,ab,Engineer,16,medium
433,A,ab,Maintenance,48,low
434,C,ac,Project Management,24,medium
435,B,ad,Project Management,27,medium
436,C,ad,Engineer,15,high
437,B,aa,Maintenance,36,low
438,C,ae,Project Management,18,high
439,C,ad,Project Management,10,high
440,A,aa,Maintenance,37,low
441,B,ad,Maintenance,19,medium
442,B,ac,Project Management,27,medium
443,C,ab,Maintenance,20,medium
444,D,ac,Engineer,3,high
445,D,ae,Engineer,16,high
446,C,ac,Engineer,17,high
447,D,ac,Engineer,17,high
448,B,ac,Maintenance,17,medium
449,D,ae,Project Management,14,high
450,B,ad,Project Management,16,medium
451,D,ac,Project Management,6,high
452,D,ae,Project Management,20,high
453,D,ad,Engineer,16,high
454,B,ab,Maintenance,33,low
455,C,ab,Project Management,33,medium
456,B,aa,Project Management,49,low
457,B,aa,Project Management,42,low
458,D,ae,Engineer,13,high
459,A,ac,Maintenance,32,low
460,D,ae,Engineer,10,high
461,D,ad,Engineer,11,high
462,C,ab,Project Management,32,medium
463,B,ac,Project Management,25,medium
464,B,aa,Maintenance,45,low
465,B,ac,Project Management,27,medium
466,C,ad,Engineer,35,medium
467,C,ac,Engineer,24,medium
468,B,ad,Maintenance,20,medium
469,A,ac,Maintenance,44,low
470,B,ac,Engineer,15,medium
471,C,ae,Engineer,7,high
472,D,ad,Project Management,19,high
473,B,ac,Project Management,32,medium
474,D,ac,Engineer,4,high
475,C,ac,Project Management,14,high
476,B,ab,Project Management,24,medium
477,C,ab,Engineer,32,medium
478,A,aa,Project Management,39,low
479,B,ab,Project Management,29,low
480,C,ae,Engineer,13,high
481,A,ab,Maintenance,30,low
482,B,ad,Engineer,24,medium
483,C,ae,Project Management,15,high
484,C,ab,Project Management,34,medium
485,A,aa,Project Management,38,low
486,C,ab,Maintenance,22,medium
487,A,aa,Project Management,41,low
488,C,ad,Project Management,22,high
489,B,ac,Project Management,46,low
490,D,ad,Engineer,11,high
491,B,aa,Maintenance,30,low
492,C,ac,Project Management,7,high
493,D,ac,Engineer,21,high
494,A,aa,Project Management,30,low
495,C,ac,Engineer,15,high
496,C,ab,Engineer,25,medium
497,B,ab,Project Management,26,medium
498,C,ac,Engineer,34,medium
499,D,ae,Engineer,21,high
500,B,ad,Maintenance,32,medium
501,B,ac,Maintenance,20,medium
502,A,aa,Project Management,28,low
503,B,ad,Maintenance,23,medium
504,C,ac,Engineer,23,medium
505,D,ae,Project Management,17,high
506,A,aa,Project Management,48,low
507,B,aa,Maintenance,48,low
508,C,ac,Project Management,10,high
509,B,ab,Project Management,23,medium
510,B,ac,Maintenance,20,medium
511,B,ab,Maintenance,52,low
512,C,ae,Engineer,19,high
513,D,ad,Engineer,3,high
514,C,ae,Project Management,13,high
515,C,ac,Engineer,35,medium
516,B,ac,Maintenance,46,low
517,C,ab,Engineer,28,medium
518,B,ad,Engineer,18,medium
519,A,aa,Maintenance,30,low
520,A,ab,Project Management,33,low
521,A,aa,Project Management,33,low
522,B,ab,Engineer,34,medium
523,C,ab,Engineer,34,medium
524,B,ab,Project Management,39,low
525,D,ac,Project Management,10,high
526,C,ad,Engineer,14,high
527,B,aa,Project Management,45,low
528,A,ac,Project Management,44,low
529,B,aa,Project Management,36,low
530,C,ad,Engineer,15,high
531,C,ad,Engineer,12,high
532,D,ad,Project Management,18,high
533,D,ad,Project Management,13,high
534,B,ad,Engineer,16,medium
535,C,ae,Engineer,22,high
536,C,ac,Engineer,21,high
537,C,ac,Maintenance,34,medium
538,A,ab,Project Management,52,low
539,D,ac,Project Management,4,high
540,B,aa,Project Management,28,low
541,D,ae,Project Management,8,high
542,C,ab,Engineer,34,medium
543,B,ac,Project Management,21,medium
544,D,ad,Engineer,14,high
545,C,ac,Project Management,20,high
546,B,ad,Engineer,33,medium
547,B,aa,Project Management,29,low
548,C,ac,Project Management,6,high
549,C,ad,Project Management,12,high
550,D,ac,Project Management,14,high
551,B,ab,Engineer,30,medium
552,A,ac,Maintenance,45,low
553,C,ad,Project Management,15,high
554,B,ad,Engineer,31,medium
555,B,ad,Engineer,31,medium
556,B,aa,Maintenance,32,low
557,C,ae,Engineer,15,high
558,D,ac,Project Management,11,high
559,C,ac,Project Management,32,medium
560,A,ac,Maintenance,34,low
561,A,ac,Project Management,44,low
562,D,ac,Engineer,17,high
563,D,ae,Project Management,16,high
564,C,ab,Engineer,18,medium
565,B,ad,Project Management,33,medium
566,D,ad,Project Management,21,high
567,B,ad,Maintenance,28,medium
568,B,ab,Engineer,17,medium
569,A,ab,Maintenance,37,low
570,B,ad,Project Management,21,medium
571,B,aa,Project Management,28,low
572,C,ad,Project Management,8,high
573,C,ad,Project Management,18,medium
574,C,ad,Maintenance,15,medium
575,C,ad,Project Management,14,high
576,B,ab,Project Management,32,medium
577,C,ad,Engineer,16,high
578,C,ad,Maintenance,23,medium
579,C,ab,Maintenance,29,medium
580,D,ac,Project Management,11,high
581,A,ab,Maintenance,46,low
582,B,ab,Maintenance,16,medium
583,D,ac,Project Management,20,high
584,C,ad,Project Management,16,medium
585,B,ac,Project Management,42,low
586,C,ac,Project Management,12,high
587,D,ac,Engineer,9,high
588,C,ac,Engineer,18,high
589,B,ab,Project Management,24,medium
590,C,ad,Engineer,6,high
591,B,ad,Project Management,23,medium
592,C,ab,Maintenance,16,medium
593,C,ac,Maintenance,32,medium
594,B,ac,Project Management,23,medium
595,D,ac,Engineer,7,high
596,C,ad,Project Management,20,medium
597,D,ad,Engineer,20,high
598,B,ab,Maintenance,31,low
599,D,ad,Project Management,6,high
600,D,ad,Engineer,18,high
601,B,ac,Engineer,24,medium
602,C,ac,Project Management,21,high
603,B,ad,Maintenance,16,medium
604,B,ab,Maintenance,33,medium
605,C,ac,Project Management,17,medium
606,B,ac,Maintenance,21,medium
607,B,ac,Maintenance,20,medium
608,A,aa,Maintenance,44,low
609,C,ac,Project Management,34,medium
610,D,ac,Project Management,4,high
611,A,aa,Maintenance,31,low
612,B,ac,Engineer,17,medium
613,C,ab,Project Management,16,medium
614,C,ae,Engineer,6,high
615,A,ac,Maintenance,47,low
616,B,ab,Maintenance,49,low
617,C,ac,Project Management,18,medium
618,B,aa,Maintenance,28,low
619,D,ae,Engineer,11,high
620,C,ad,Project Management,5,high
621,B,ad,Engineer,25,medium
622,C,ae,Engineer,15,high
623,B,aa,Project Management,32,low
624,A,aa,Project Management,44,low
625,D,ad,Engineer,11,high
626,C,ab,Project Management,19,medium
627,B,aa,Project Management,34,low
628,C,ae,Project Management,18,high
629,A,aa,Project Management,30,low
630,A,aa,Project Management,41,low
631,A,aa,Project Management,43,low
632,B,ac,Maintenance,45,low
633,B,ab,Project Management,29,low
634,A,ac,Maintenance,34,low
635,C,ac,Project Management,30,medium
636,A,ab,Project Management,51,low
637,D,ae,Engineer,12,high
638,B,ad,Maintenance,27,medium
639,A,ab,Maintenance,45,low
640,C,ac,Engineer,29,medium
641,D,ae,Project Management,12,high
642,C,ad,Project Management,20,medium
643,C,ac,Engineer,14,high
644,B,ab,Maintenance,23,medium
645,B,ad,Maintenance,25,medium
646,C,ab,Project Management,24,medium
647,D,ac,Engineer,10,high
648,A,ab,Maintenance,42,low
649,B,ab,Maintenance,28,low
650,D,ac,Project Management,6,high
651,B,aa,Project Management,48,low
652,D,ae,Engineer,16,high
653,B,ab,Maintenance,48,low
654,B,ac,Project Management,39,low
655,B,ac,Project Management,23,medium
656,D,ac,Project Management,12,high
657,B,ab,Maintenance,21,medium
658,B,ab,Project Management,48,low
659,C,ab,Engineer,29,medium
660,A,ac,Project Management,46,low
661,A,ac,Project Management,43,low
662,A,ac,Maintenance,28,low
663,C,ab,Project Management,35,medium
664,B,ab,Maintenance,36,low
665,D,ac,Project Management,5,high
666,D,ad,Project Management,12,high
667,D,ad,Engineer,18,high
668,A,ac,Maintenance,39,low
669,D,ac,Engineer,3,high
670,B,ab,Maintenance,49,low
671,D,ad,Project Management,13,high
672,C,ae,Project Management,10,high
673,A,aa,Maintenance,33,low
674,D,ae,Project Management,9,high
675,D,ac,Project Management,5,high
676,C,ab,Maintenance,24,medium
677,B,ad,Project Management,31,medium
678,B,ab,Maintenance,47,low
679,B,ac,Maintenance,35,medium
680,C,ad,Maintenance,26,medium
681,A,ab,Maintenance,44,low
682,D,ad,Engineer,22,high
683,A,ac,Project Management,40,low
684,D,ac,Engineer,9,high
685,C,ae,Engineer,19,high
686,B,ac,Project Management,43,low
687,C,ac,Project Management,19,high
688,B,ac,Maintenance,16,medium
689,D,ad,Engineer,20,high
690,C,ad,Engineer,20,high
691,A,ac,Maintenance,40,low
692,C,ac,Project Management,14,high
693,C,ac,Project Management,31,medium
694,C,ac,Engineer,12,high
695,A,ab,Project Management,38,low
696,A,ac,Maintenance,48,low
697,C,ae,Engineer,22,high
698,C,ac,Maintenance,20,medium
699,D,ae,Project Management,16,high
700,B,aa,Project Management,49,low
701,B,ad,Project Management,15,medium
702,D,ac,Engineer,20,high
703,B,ac,Maintenance,48,low
704,C,ad,Project Management,24,medium
705,A,aa,Project Management,31,low
706,C,ae,Engineer,15,high
707,A,ac,Maintenance,29,low
708,A,aa,Project Management,44,low
709,A,aa,Project Management,31,low
710,A,ab,Maintenance,47,low
711,C,ae,Project Management,14,high
712,B,ab,Project Management,30,medium
713,A,aa,Project Management,42,low
714,D,ac,Project Management,6,high
715,B,ac,Maintenance,34,low
716,B,ad,Maintenance,23,medium
717,B,ab,Project Management,30,medium
718,B,ac,Maintenance,27,medium
719,C,ac,Engineer,21,high
720,B,aa,Project Management,44,low
721,A,ab,Project Management,41,low
722,B,ab,Maintenance,32,low
723,B,ac,Maintenance,42,low
724,D,ae,Engineer,7,high
725,C,ad,Project Management,32,medium
726,B,ac,Maintenance,15,medium
727,C,ad,Engineer,10,high
728,B,ac,Maintenance,29,medium
729,B,ad,Project Management,21,medium
730,D,ad,Project Management,16,high
731,C,ae,Project Management,17,high
732,C,ad,Project Management,19,medium
733,B,ab,Engineer,27,medium
734,B,ac,Project Management,31,medium
735,C,ad,Engineer,28,medium
736,C,ad,Project Management,16,medium
737,B,aa,Maintenance,43,low
738,C,ac,Project Management,12,high
739,D,ad,Engineer,9,high
740,D,ac,Project Management,18,high
741,C,ad,Engineer,19,high
742,C,ac,Project Management,7,high
743,C,ac,Project Management,13,high
744,C,ad,Project Management,12,high
745,C,ae,Project Management,19,high
746,C,ac,Project Management,16,medium
747,B,aa,Maintenance,44,low
748,A,aa,Project Management,50,low
749,D,ae,Engineer,5,high
750,B,ad,Engineer,20,medium
751,B,ab,Project Management,30,low
752,D,ae,Engineer,3,high
753,B,ab,Project Management,36,low
754,C,ad,Maintenance,28,medium
755,D,ad,Engineer,14,high
756,C,ac,Engineer,22,high
757,C,ad,Project Management,17,high
758,B,ac,Project Management,52,low
759,D,ac,Engineer,5,high
760,B,aa,Maintenance,32,low
761,C,ad,Engineer,6,high
762,C,ae,Project Management,12,high
763,A,aa,Project Management,28,low
764,B,ab,Maintenance,34,medium
765,A,aa,Maintenance,29,low
766,B,ac,Project Management,43,low
767,C,ae,Engineer,15,high
768,A,ac,Maintenance,46,low
769,B,ab,Project Management,52,low
770,B,ac,Maintenance,24,medium
771,B,ac,Maintenance,28,medium
772,D,ad,Engineer,12,high
773,D,ae,Engineer,19,high
774,D,ac,Project Management,11,high
775,B,ab,Project Management,32,medium
776,A,ac,Project Management,45,low
777,A,aa,Project Management,36,low
778,A,aa,Maintenance,36,low
779,C,ac,Project Management,19,high
780,B,ac,Engineer,34,medium
781,C,ac,Project Management,22,high
782,C,ae,Engineer,10,high
783,B,ac,Project Management,49,low
784,B,aa,Project Management,50,low
785,C,ad,Project Management,20,high
786,B,ab,Engineer,32,medium
787,B,aa,Project Management,37,low
788,C,ae,Project Management,14,high
789,D,ad,Project Management,19,high
790,B,ab,Maintenance,20,medium
791,A,ab,Maintenance,34,low
792,C,ab,Engineer,28,medium
793,B,ad,Maintenance,15,medium
794,B,aa,Maintenance,40,low
795,C,ac,Engineer,18,medium
796,C,ac,Engineer,16,high
797,A,ac,Maintenance,41,low
798,C,ad,Maintenance,25,medium
799,B,ad,Engineer,25,medium
800,D,ad,Project Management,9,high
801,D,ae,Project Management,17,high
802,C,ae,Project Management,10,high
803,A,aa,Maintenance,47,low
804,B,ab,Engineer,27,medium
805,B,ac,Project Management,40,low
806,A,ac,Maintenance,34,low
807,D,ac,Engineer,11,high
808,A,ab,Maintenance,39,low
809,D,ae,Project Management,14,high
810,C,ac,Engineer,4,high
811,B,aa,Project Management,38,low
812,A,ac,Maintenance,37,low
813,C,ac,Project Management,16,medium
814,A,aa,Maintenance,28,low
815,C,ad,Project Management,14,high
816,A,ab,Project Management,36,low
817,C,ab,Maintenance,15,medium
818,D,ad,Project Management,20,high
819,C,ab,Engineer,22,medium
820,D,ad,Project Management,4,high
821,B,ac,Engineer,26,medium
822,B,ab,Project Management,46,low
823,D,ac,Engineer,4,high
824,A,ac,Maintenance,52,low
825,B,ac,Maintenance,16,medium
826,C,ad,Engineer,9,high
827,C,ab,Maintenance,33,medium
828,B,ad,Project Management,23,medium
829,B,ac,Engineer,24,medium
830,B,ad,Engineer,27,medium
831,B,ab,Project Management,20,medium
832,C,ad,Maintenance,18,medium
833,B,ac,Project Management,32,medium
834,D,ad,Project Management,14,high
835,A,aa,Maintenance,45,low
836,C,ae,Project Management,10,high
837,B,aa,Project Management,28,low
838,C,ad,Maintenance,17,medium
